gesto,MAV,RMS,ZCR,VAR,WL,IEMG
giro,425.647,686.7443723832034,2,425810.276271,9100.0,425647.0
giro,292.334,498.8483035953916,8,184878.06852400003,8449.0,292334.0
giro,273.256,404.5617925607904,3,156691.646556,6709.0,273256.0
giro,255.28,425.9478371819723,7,158026.23185599997,5350.0,255280.0
giro,283.84,450.75688125640414,16,183974.023536,6096.0,283840.0
giro,272.866,448.77198219140195,2,173526.660636,5603.0,272866.0
giro,286.287,446.48756421651876,4,173511.546991,5045.0,286287.0
giro,296.439,487.73254863705785,7,207405.21175900003,5069.0,296439.0
giro,275.982,432.29991441128,3,170990.57964399998,4409.0,275982.0
giro,277.148,449.0317583423248,7,182348.531264,5142.0,277148.0
giro,256.68,448.4281904608585,8,178111.34560000003,4431.0,256680.0
giro,255.425,436.6040666324582,5,171704.48397499998,4862.0,255425.0
giro,315.83,466.00818018571306,4,202221.49535599997,5468.0,315830.0
giro,287.682,450.76634967574944,2,176480.93709999995,4741.0,287682.0
giro,284.541,442.15856092582897,3,167828.876119,4324.0,284541.0
giro,273.307,449.519228732209,7,174832.96615899997,4509.0,273307.0
giro,290.291,457.3842990309134,3,193257.546775,5728.0,290291.0
giro,270.426,399.39019266877347,2,120752.366624,4056.0,270426.0
giro,269.545,409.42400882215003,8,135853.17397499998,4501.0,269545.0
giro,249.279,381.3723180829988,3,121819.003151,4333.0,249279.0
mano_abierta,44.729,63.80641817246914,22,3727.267791,2922.0,44729.0
mano_abierta,68.46,100.38249847458471,12,9843.900464000002,2628.0,68460.0
mano_abierta,88.185,117.9929023289113,5,13719.860559,3155.0,88185.0
mano_abierta,73.591,114.42480063342911,12,11606.392750999998,3188.0,73591.0
mano_abierta,63.424,90.69737592675986,12,7865.697676000001,3129.0,63424.0
mano_abierta,44.443,55.56856125544371,15,3087.339375,2539.0,44443.0
mano_abierta,76.665,105.64396338646142,15,11159.434799,3299.0,76665.0
mano_abierta,48.528,69.60548828935833,23,4417.757776,2863.0,48528.0
mano_abierta,160.871,225.64725347320316,9,36326.700479,4130.0,160871.0
mano_abierta,96.823,137.81052572281988,26,11415.257151,3281.0,96823.0
mano_abierta,63.624,86.18784136988234,15,7426.633136,4269.0,63624.0
mano_abierta,42.151,57.74120712281655,24,2774.204079,3647.0,42151.0
mano_abierta,45.351,58.161782985049555,16,3207.7865589999997,3729.0,45351.0
mano_abierta,51.59,70.7793755270559,14,4763.920316,3408.0,51590.0
mano_abierta,61.35,79.6994353806851,6,6347.846555999998,3531.0,61350.0
mano_abierta,62.733,81.26170684892116,14,6354.425039,3826.0,62733.0
mano_abierta,50.53,64.93265742290238,11,4038.0275,3070.0,50530.0
mano_abierta,65.096,90.79115595695431,29,8052.814735999999,3724.0,65096.0
mano_abierta,56.322,82.55420037769126,23,6319.510303999999,3554.0,56322.0
mano_abierta,56.907,79.30503767100801,17,6036.319974999999,3652.0,56907.0
puno,310.076,444.04267362495693,10,108139.69100400001,15032.0,310076.0
puno,354.265,489.254129262084,2,144977.486711,13421.0,354265.0
puno,194.541,255.80382522550363,23,48404.563990999995,11042.0,194541.0
puno,187.284,261.99025172704427,16,49441.681084,8957.0,187284.0
puno,161.568,251.15957477269308,27,38032.372176,6736.0,161568.0
puno,135.754,201.69663358618556,25,23867.223100000003,9013.0,135754.0
puno,149.429,217.1193335472454,20,30813.332159,8783.0,149429.0
puno,160.162,224.87726874897783,19,28981.361100000002,12661.0,160162.0
puno,162.226,239.7108675050007,24,42331.80799599999,11544.0,162226.0
puno,140.659,190.40540696104193,22,21352.401670999996,10434.0,140659.0
puno,116.167,158.3223073353847,23,21022.392079000005,7532.0,116167.0
puno,189.11,231.18556615844338,7,53287.148044,9431.0,189110.0
puno,89.393,126.89306915667223,33,9212.684999,8041.0,89393.0
puno,106.228,146.83539763966996,14,18632.741899999997,7659.0,106228.0
puno,110.341,152.30145435943808,23,17421.708831,8381.0,110341.0
puno,89.288,129.24011761059336,34,11575.588764,7939.0,89288.0
puno,118.147,147.8206785263821,17,16080.575631,7045.0,118147.0
puno,80.778,112.24274586805153,32,8463.172364,6948.0,80778.0
puno,98.01,129.96981187952838,9,10952.675376000001,7410.0,98010.0
puno,86.897,104.15288282136025,11,10090.967879,7115.0,86897.0
reposo,12.309,15.241817476928398,45,149.92107099999996,1362.0,12309.0
reposo,8.979,10.927534031061171,46,89.632151,1477.0,8979.0
reposo,5.111,6.316882142323062,99,35.930951,1023.0,5111.0
reposo,17.177,23.688119385041944,56,557.6487749999999,1492.0,17177.0
reposo,15.752,18.571160437624783,4,98.58636399999999,940.0,15752.0
reposo,5.286,6.693579012755434,94,43.83574399999999,1111.0,5286.0
reposo,5.688,6.993997426364983,60,34.201104,1015.0,5688.0
reposo,9.749,11.83296243550194,42,51.301439,983.0,9749.0
reposo,4.665,6.070172979413354,122,33.413391000000004,1108.0,4665.0
reposo,7.253,8.798806737279778,52,57.500631,1008.0,7253.0
reposo,8.204,9.545051073724016,47,50.760096,1094.0,8204.0
reposo,8.572,10.280758726864471,41,96.31815600000002,1154.0,8572.0
reposo,13.183,17.777654513461556,48,316.03439099999997,1196.0,13183.0
reposo,15.297,17.948621116954918,21,90.656775,1105.0,15297.0
reposo,4.263,5.3967582862307255,133,22.213358999999997,1111.0,4263.0
reposo,8.124,9.941830817309254,48,39.148924,1113.0,8124.0
reposo,11.526,14.325013088999256,57,79.27271600000002,1165.0,11526.0
reposo,7.606,9.601145764959513,60,57.912684000000006,1119.0,7606.0
reposo,10.295,14.311428999229951,98,128.83091100000001,1218.0,10295.0
reposo,8.877,10.63658779872568,44,38.918775,1141.0,8877.0
